Equation,Iteration,Euler Error,Euler Improved Error,RK4 Error,,,,,,Euler Time,Euler Improved Time,RK4 Time,,,,Euler Time,Euler Improved Time,RK4 Time
Equation 2,89,79.26572203,9.721746979,0.020095902,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,90,79.6290493,9.825429665,0.020321675,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,91,79.98601021,9.928993305,0.020547448,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,92,80.33671626,10.03243803,0.02077322,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,93,80.68127702,10.13576397,0.020998992,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,94,81.01980016,10.23897127,0.021224763,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,95,81.35239144,10.34206005,0.021450534,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,96,81.6791548,10.44503044,0.021676305,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,97,82.00019233,10.54788259,0.021902075,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,98,82.31560436,10.65061662,0.022127844,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,99,82.62548944,10.75323268,0.022353613,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,100,82.92994443,10.85573088,0.022579382,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 3,0,0,0,0,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,1,4,0.48,0.002388629,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,2,10.72,1.594476277,0.011615888,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,3,22.766848,4.660711128,0.062858831,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,4,46.47102458,16.19208987,0.699839154,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,5,nan,nan,nan,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,6,249.7221001,3835.849995,1.0174E+13,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,7,847.778345,205500628.4,1.07E+174,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,8,5415.460917,1.67E+26,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,9,132761.169,1.93E+97,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,10,55162757,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,11,7.30307E+12,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,12,1.04E+23,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,13,1.76E+43,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,14,4.34E+83,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,15,2.32E+164,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,16,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,17,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,18,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,19,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,20,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,21,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,22,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,23,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,24,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,25,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,26,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,27,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,28,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,29,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,30,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,31,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,32,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,33,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,34,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,35,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,36,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,37,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,38,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,39,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,40,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,41,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,42,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,43,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,44,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,45,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,46,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,47,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,48,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,49,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,50,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,51,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,52,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,53,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,54,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,55,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
Equation 3,56,inf,inf,inf,,,,,,,,,,,,0.6371404,1.4096553,2.0847871
